ImageID,Moisture,Firmness,pH,TSS,Ethanol,CO2,Formaldehyde,Category
lithchi_fresh (1),78.84113653,2.852362604,4.876980952,16.64146162,0.142193371,389.5372354,0.049651542,Fresh
lithchi_fresh (2),79.84326638,2.902774049,4.902453388,18.69458167,0.334235074,243.7543417,0.012331849,Fresh
lithchi_fresh (3),79.56372882,2.327247642,4.509003278,16.71701302,0.317737955,265.2441014,0.040097033,Fresh
lithchi_fresh (4),76.56988517,3.589619097,4.981405179,18.77579836,0.193496317,351.2384468,0.035070979,Fresh
lithchi_fresh (5),79.98525455,3.387364452,4.863335496,16.91839264,0.355109657,278.7510283,0.077284008,Fresh
lithchi_fresh (6),76.66074361,2.441539226,4.652375548,16.4702052,0.428027001,321.6422754,0.080317051,Fresh
lithchi_fresh (7),77.27779789,2.164762091,4.914697332,16.66113796,0.116631584,288.9147002,0.015341288,Fresh
lithchi_fresh (8),80.22543984,3.360998604,4.640760599,16.00796854,0.299251977,348.4739874,0.036655119,Fresh
lithchi_fresh (9),79.54743029,3.309022429,4.93637692,18.87495847,0.375724165,245.6662505,0.037335316,Fresh
lithchi_fresh (10),80.94456387,2.546519054,4.556290195,18.9296042,0.200924771,211.6915974,0.015141044,Fresh
lithchi_fresh (11),79.60329025,3.901727125,4.851842989,18.0597334,0.223108362,259.9858795,0.079845351,Fresh
lithchi_fresh (12),78.97816022,2.302115784,4.770349238,16.6454512,0.345455161,294.861733,0.070722833,Fresh
lithchi_fresh (13),75.65572337,2.864669602,4.548267235,16.33421735,0.459174117,233.6040104,0.019038179,Fresh
lithchi_fresh (14),77.57401062,3.88723184,4.620946914,16.07651587,0.423969768,270.9594579,0.036672191,Fresh
lithchi_fresh (15),76.85641657,2.839454634,4.506202018,16.66299271,0.333252088,279.9966037,0.010580502,Fresh
lithchi_fresh (16),76.7079275,3.277051895,4.734383983,19.56342214,0.392088687,211.4783687,0.06282066,Fresh
lithchi_fresh (17),81.81107388,2.795188796,4.65063263,16.96614737,0.245928988,316.6614496,0.012137192,Fresh
lithchi_fresh (18),77.75168407,2.548430405,4.799178742,17.41708531,0.356386211,376.8686856,0.098593417,Fresh
lithchi_fresh (19),81.24432589,3.967955296,4.648618904,16.42138194,0.286472636,230.3485826,0.078068207,Fresh
lithchi_fresh (20),79.41797038,2.818668013,4.649959556,16.88944522,0.175974455,319.5616027,0.039023855,Fresh
lithchi_fresh (21),80.56367912,3.788198407,4.871596599,18.07689828,0.38069531,332.947841,0.057856393,Fresh
lithchi_fresh (22),78.51845965,2.459909212,4.524071418,18.43101073,0.322585855,283.8669361,0.091134182,Fresh
lithchi_fresh (23),79.03832719,2.426209408,4.951447498,16.98140926,0.243448633,340.2195175,0.055409928,Fresh
lithchi_fresh (24),78.44762386,2.062268166,4.926131937,16.23092864,0.464535676,282.1463087,0.017449849,Fresh
lithchi_fresh (25),76.36670091,3.303333651,4.833902342,17.56413148,0.108373647,300.9274576,0.037870336,Fresh
lithchi_fresh (26),80.05716481,2.737052687,4.796610785,16.93681348,0.22630926,201.4706089,0.084314487,Fresh
lithchi_fresh (27),76.96540654,3.7287165,4.946151249,16.87821569,0.122752559,338.3440228,0.064421302,Fresh
lithchi_fresh (28),75.17021177,2.946419813,4.59266509,19.83945121,0.406610926,332.2685358,0.065072438,Fresh
lithchi_fresh (29),79.51830607,3.936386856,4.539484581,18.46520194,0.380842982,207.6801755,0.086682149,Fresh
lithchi_fresh (30),76.23977476,2.371051031,4.619755085,18.22751377,0.232540887,273.6500215,0.089397306,Fresh
lithchi_fresh (31),81.58321009,3.737246336,4.897289139,17.66310041,0.370265161,395.8063682,0.091979257,Fresh
lithchi_fresh (32),81.67750004,3.553193706,4.517335133,17.71577733,0.25837489,284.1473125,0.009484919,Fresh
lithchi_fresh (33),81.40405073,3.541843689,4.791403418,18.16362002,0.402501517,300.389081,0.0544126,Fresh
lithchi_fresh (34),77.5911109,3.689566456,4.997718758,18.78571923,0.281673465,381.9860316,0.074050952,Fresh
lithchi_fresh (35),75.10819632,3.522047982,4.927848047,18.80858438,0.264911891,343.4523752,0.075692685,Fresh
lithchi_fresh (36),81.49822994,3.252440643,4.760722845,16.68677563,0.473891966,316.4140262,0.06067162,Fresh
lithchi_fresh (37),77.99728904,2.262489755,4.531820455,18.00045101,0.20035164,359.5609363,0.016678734,Fresh
lithchi_fresh (38),81.76658373,2.065052359,4.915686757,17.64783238,0.148178936,372.8732533,0.079742055,Fresh
lithchi_fresh (39),81.74533984,3.841695696,4.799489254,19.48210787,0.333817245,291.3776143,0.072011133,Fresh
lithchi_fresh (40),80.97106619,3.233300629,4.557466499,18.52567568,0.487728725,295.021673,0.008613577,Fresh
lithchi_fresh (41),77.06114224,3.593074582,4.546928642,18.13001627,0.251135685,277.2101871,0.046380982,Fresh
lithchi_fresh (42),77.6956841,2.963044703,4.95481341,16.46157857,0.124814705,393.341228,0.01739774,Fresh
lithchi_fresh (43),80.9579567,2.234616378,4.834600131,18.42255156,0.235722107,339.4332509,0.033747705,Fresh
